Resource,Total_Demand,Opt_Allocated,Opt_Unmet,Opt_Fulfillment_%,Base_Allocated,Base_Unmet,Base_Fulfillment_%,Improvement_%
Food,62946696,85511.0,62861185.0,0.13584668526526,85489.55757124824,62861206.44242875,0.13581262084232068,3.406442293930936e-05
Water,93398680,280441.0,93118239.0,0.30026227351392976,280370.94565704826,62666325.054342955,0.30018726780405064,7.500570987913534e-05
Medical,787547,1067.0,786480.0,0.13548397746420213,1066.7405118286827,62945629.25948817,0.13545102855177946,3.294891242266729e-05
Shelter,4039396,37240.0,4002156.0,0.9219200098232507,37230.965275976414,62909465.03472403,0.9216963446014309,0.0002236652218199459
